,date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max
2135,2020-11-05,53.736842931937176,1.076377631234169e-05,154.0,168.275,204,219,50,0,219
2136,2020-11-06,43.56853403141362,1.076377631234169e-05,146.0,165.22,198,216,41,0,216
2137,2020-11-07,37.090089005235605,1.076377631234169e-05,81.7,80.195,165,164,35,0,165
2138,2020-11-08,25.009465968586387,1.076377631234169e-05,58.2,69.566,152,158,24,0,158
2139,2020-11-09,31.430649214659685,1.076377631234169e-05,22.0,32.851,72,95,29,0,95
2140,2020-11-10,39.2650890052356,1.0894510437592804e-05,19.2,23.189,66,74,37,0,74
2141,2020-11-11,34.25561780104712,1.2517791946894924e-05,16.9,23.189,61,74,32,0,74
2142,2020-11-12,36.491350785340316,1.4642222028124728e-05,15.1,28.02,57,84,34,0,84
2143,2020-11-13,43.41047643979058,1.4478803825661631e-05,16.321,40.5,60,113,41,0,113
2144,2020-11-14,28.88649214659686,1.4860112236876584e-05,17.0,34.783,61,99,26,0,99
2145,2020-11-15,27.795604046499246,1.6341765656389203e-05,14.812558238812638,29.952,57,88,25,0,88
2146,2020-11-16,36.98812565445026,1.4017604157568346e-05,15.8,35.9,59,102,34,0,102
2147,2020-11-17,31.798314136125658,1.4674906105336711e-05,14.822111538556998,31.9,57,92,29,0,92
2148,2020-11-18,29.231997754517003,1.528499868984191e-05,14.826888188429178,26.1,57,80,27,0,80
2149,2020-11-19,36.141832460732985,1.601493143505983e-05,14.831664838301359,22.745925889156386,57,73,34,0,73
2150,2020-11-20,47.505130890052364,1.3149674644073719e-05,17.2,41.3,62,115,44,0,115
2151,2020-11-21,30.66839146253477,1.5960457245174252e-05,14.841218138045718,22.7591496860341,57,73,28,0,73
2152,2020-11-22,32.585188481675395,1.329130273386322e-05,44.387,51.4,123,140,30,0,140
2153,2020-11-23,46.36631413612565,1.076377631234169e-05,23.0,43.479,74,120,43,0,120
2154,2020-11-24,32.10478517055253,1.2583160101318892e-05,15.4,26.6,58,81,30,0,81
2155,2020-11-25,34.75723560209424,1.076377631234169e-05,25.0,41.4,78,115,32,0,115
2156,2020-11-26,38.60046073298429,1.076377631234169e-05,32.7,47.344,94,130,36,0,130
2157,2020-11-27,38.44032984293194,1.076377631234169e-05,36.1,53.141,102,144,36,0,144
