date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max,value
2015-05-31,58.6286387434555,0.03557218691588785,46.843,62.408,129,155,55,30,155,0.0
2015-06-01,77.1075445026178,0.0407766261682243,20.4,28.0,68,84,76,34,84,0.0
2015-06-02,65.12788481675393,0.04097091121495327,23.6,33.6,75,96,63,34,96,0.0
2015-06-03,76.35055497382199,0.035836336448598134,18.5,30.9,64,90,74,30,90,0.0
2015-06-04,96.43055497382198,0.04560267757009346,33.8,45.8,96,126,96,38,126,0.0
2015-06-05,109.92118848167539,0.03688314953271028,36.7,46.9,104,129,103,31,129,0.0
2015-06-06,92.22154973821989,0.03939782242990654,15.8,58.745,59,153,91,33,153,0.0
2015-06-07,50.97388481675392,0.04338782242990654,25.7,28.918,79,86,47,36,86,0.0
2015-06-08,58.88797905759162,0.0360121261682243,24.6,25.8,77,80,55,31,80,0.0
2015-06-09,36.169780104712046,0.036650004672897196,11.0,17.3,46,62,34,31,62,0.0
2015-06-10,59.21265445026178,0.046348733644859814,17.3,30.1,62,89,56,39,89,0.0
2015-06-11,106.33300000000001,0.05861272897196262,30.0,30.6,89,90,102,49,102,0.0
2015-06-12,117.0064502617801,0.06274611214953271,79.4,90.4,163,169,104,58,169,0.0
2015-06-13,88.32971204188483,0.041126341121495325,65.0,66.4,156,157,87,35,157,0.0
2015-06-14,51.7142670157068,0.03451698598130841,22.9,31.5,74,92,48,29,92,0.0
2015-06-15,75.43610994764397,0.03728718224299065,16.2,25.2,59,78,73,31,78,0.0
2015-06-16,108.10130890052356,0.04760770560747663,24.2,32.9,76,95,102,40,102,0.0
2015-06-17,80.36430366492148,0.02527264953271028,23.8,30.5,76,90,79,21,90,0.0
2015-06-18,47.813,0.04109066822429907,15.4,45.52,58,126,44,35,126,0.0
2015-06-19,47.65679581151832,0.03830531775700935,14.8,24.5,57,77,44,32,77,0.0
2015-06-20,79.71445026178012,0.02545916355140187,29.2,31.2,87,91,78,21,91,0.0
2015-06-21,52.11962827225131,0.03357252336448598,25.1,30.8,78,90,49,28,90,0.0
2015-06-22,72.08898429319373,0.029218355140186916,22.4,31.1,72,91,70,25,91,0.0
2015-06-23,62.758539267015706,0.03772246261682243,19.2,23.5,66,75,60,31,75,0.0
2015-06-24,115.89624607329843,0.04369091121495327,25.7,33.7,79,96,104,36,104,0.0
2015-06-25,128.34552356020941,0.04602233644859813,29.2,66.5,87,157,106,39,157,0.0
2015-06-26,123.72648167539268,0.0561507429906542,26.5,32.4,81,93,105,47,105,0.0
2015-06-27,91.85732460732984,0.039307831775700935,22.1,25.2,72,78,90,33,90,0.0
2015-06-28,68.8144554973822,0.030798126168224298,21.9,26.4,71,81,66,25,81,0.0
2015-06-29,91.57295287958115,0.04476336448598131,24.5,37.923,77,107,90,37,107,0.0
2015-06-30,113.26255497382199,0.06839632242990655,27.5,45.5,83,126,103,77,126,0.0
2015-07-01,152.05075916230368,0.07719349065420561,36.1,42.769,102,119,111,104,119,0.0
2015-07-02,114.20228272251309,0.05287672429906542,31.2,40.4,91,113,103,44,113,0.0
2015-07-03,93.561554973822,0.04443230373831776,25.2,31.7,78,92,93,37,93,0.0
2015-07-04,97.88695811518325,0.04245385514018691,43.2,51.7,120,141,97,36,141,0.0
2015-07-05,72.61066492146598,0.03877160280373832,29.0,28.2,87,85,70,32,87,0.0
2015-07-06,98.57085340314137,0.0339012523364486,23.0,26.4,74,81,98,28,98,0.0
2015-07-07,103.40967539267017,0.035528355140186915,18.6,28.0,65,84,101,30,101,0.0
2015-07-08,74.46559162303664,0.03954097196261682,36.4,18.579,103,64,72,33,103,0.0
2015-07-09,97.20381151832461,0.04504803271028037,24.2,24.8,76,78,97,38,97,0.0
2015-07-10,101.18602094240838,0.05250369626168225,23.1,35.7,74,101,101,44,101,0.0
2015-07-11,80.31999476439792,0.04102445794392523,24.2,34.5,76,98,79,35,98,0.0
2015-07-12,69.49384293193717,0.027347616822429907,25.5,25.9,79,80,67,23,80,0.0
2015-07-13,89.27319895287958,0.022148542056074767,28.0,31.3,84,91,88,19,91,0.0
2015-07-14,84.84491099476439,0.02020436448598131,22.1,23.636734693877553,72,75,83,17,83,0.0
2015-07-15,71.39958115183246,0.02541509813084112,22.2,27.310204081632655,72,83,69,21,83,0.0
2015-07-16,85.23041361256544,0.04651193457943925,28.8,41.0,86,115,84,39,115,0.0
